QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:		
Sample Rate:	200	 Hz	
Measurement Type	Time Waveform	Time Waveform	Time Waveform	
Channel Name	DT9857E-16(00).Ain 1	DT9857E-16(00).Ain 2	DT9857E-16(00).Ain 3	
X Axis Units	Sec	Sec	Sec	
Y Axis Units	g	g	g	
Seconds	Real	Real	Real	
 1.8200000000	 8.04663E-004	 0.0016152859	 0.0012278557	
 1.8250000000	 0.0010144711	 0.0013649464	 0.0013351440	
 1.8300000000	 8.51154E-004	 0.0011980534	 0.0014257431	
 1.8350000000	 8.03471E-004	 0.0013756752	 0.0012397766	
 1.8400000000	 0.0010406971	 0.0015914440	 0.0013315678	
 1.8450000000	 9.70364E-004	 0.0012421608	 0.0011384487	
 1.8500000000	 0.0011205673	 0.0011169910	 0.0012135506	
 1.8550000000	 9.31025E-004	 0.0016260147	 0.0013828278	
 1.8600000000	 9.09567E-004	 0.0010335445	 0.0012266636	
 1.8650000000	 6.68764E-004	 0.0012028217	 9.27448E-004	
 1.8700000000	 8.95262E-004	 0.0013530254	 0.0016176701	
 1.8750000000	 7.84397E-004	 0.0011527538	 0.0011241436	
 1.8800000000	 7.17640E-004	 9.83477E-004	 0.0012147427	
 1.8850000000	 8.76188E-004	 0.0013303757	 0.0013864040	
 1.8900000000	 8.74996E-004	 0.0013279915	 0.0013279915	
 1.8950000000	 9.63211E-004	 0.0011301041	 0.0013899803	
 1.9000000000	 9.34601E-004	 0.0011444092	 0.0012028217	
